Player,Team,Rating,K/D,Assists_per_round,Support_rounds
latto,Legacy,1.16,1.5,0.2,0.11
w0nderful,Natus Vincere,1.37,1.59,0.13,0.15
Kvem,Passion UA,1.48,1.16,0.27,0.14
ZywOo,Vitality,1.36,1.4,0.15,0.12
dem0n,FUT,1.14,1.21,0.12,0.11
b1t,Natus Vincere,1.18,1.35,0.19,0.13
dumau,Legacy,1.33,1.27,0.19,0.13
frozen,FaZe,0.97,1.16,0.15,0.18
Staehr,Astralis,1.22,1.05,0.19,0.14
dziugss,FUT,1.23,1.19,0.2,0.15
REZ,GamerLegion,1.14,1.04,0.24,0.11
piriajr,paiN,1.4,1.3,0.17,0.08
arT,Legacy,1.34,1.08,0.27,0.09
malbsMd,Liquid,1.31,1.16,0.12,0.13
Magnojez,BetBoom,1.23,1.07,0.2,0.09
Swisher,M80,1.04,1.05,0.22,0.16
hypex,GamerLegion,0.94,1.19,0.14,0.12
jabbi,Astralis,1.11,1.11,0.15,0.12
ropz,Vitality,0.96,1.19,0.13,0.11
saadzin,Legacy,0.94,1.37,0.14,0.12
s1zzi,B8,1.33,1.16,0.1,0.07
iM,Natus Vincere,1.02,1.11,0.17,0.12
PR,GamerLegion,1.12,1.13,0.16,0.13
snow,paiN,1.03,1.06,0.18,0.11
Twistzz,FaZe,1.24,1.0,0.16,0.11
npl,B8,1.23,1.12,0.18,0.12
makazze,Natus Vincere,1.22,0.97,0.26,0.06
FL4MUS,BetBoom,1.08,1.02,0.15,0.14
Tauson,GamerLegion,0.93,1.04,0.2,0.1
Krabeni,FUT,1.18,1.01,0.18,0.04
Senzu,BC.Game,0.87,0.96,0.18,0.13
SHOCK,SINNERS,1.01,1.0,0.21,0.1
stressarN,SINNERS,1.14,1.02,0.2,0.15
saffee,paiN,0.82,1.1,0.14,0.07
mezii,Vitality,0.91,0.95,0.2,0.12
zorte,BetBoom,1.0,1.15,0.13,0.06
kisserek,SINNERS,1.13,0.85,0.21,0.06
br0,NRG,0.83,0.88,0.21,0.13
biguzera,paiN,0.83,0.94,0.22,0.1
flameZ,Vitality,1.04,0.94,0.17,0.12
s1n,M80,0.93,0.94,0.12,0.16
JT,Passion UA,0.94,0.91,0.15,0.11
Grim,NRG,1.14,0.89,0.14,0.08
ryu,Astralis,0.97,0.94,0.13,0.12
cmtry,FUT,0.75,0.95,0.17,0.08
EliGE,Liquid,1.12,0.82,0.27,0.12
kensizor,B8,1.12,0.78,0.27,0.08
NAF,Liquid,0.83,0.89,0.15,0.08
s1mple,BC.Game,1.27,1.12,0.1,0.12
n1ssim,Legacy,0.79,0.96,0.16,0.08
alex666,B8,0.8,0.8,0.24,0.04
Sonic,NRG,1.11,0.77,0.16,0.08
Neityu,FaZe,0.96,0.94,0.18,0.13
krazy,BC.Game,0.72,0.88,0.15,0.11
MoDo,SINNERS,0.79,0.98,0.14,0.11
JBa,M80,1.02,0.86,0.13,0.11
beastik,SINNERS,0.83,0.82,0.27,0.09
try,Passion UA,1.02,1.07,0.12,0.16
S1ren,BetBoom,0.74,0.84,0.15,0.1
apEX,Vitality,1.11,0.79,0.29,0.07
broky,FaZe,0.84,0.99,0.12,0.12
nicx,Passion UA,0.8,0.85,0.19,0.08
electroNic,BC.Game,0.89,0.74,0.15,0.11
siuhy,Liquid,0.84,0.87,0.18,0.12
Boombl4,BetBoom,0.9,0.79,0.22,0.06
ultimate,Liquid,0.62,0.9,0.09,0.1
Aleksib,Natus Vincere,0.64,0.77,0.18,0.07
lauNX,FUT,0.85,0.75,0.22,0.09
Lake,M80,0.91,0.69,0.31,0.09
phzy,Astralis,0.81,0.81,0.14,0.07
esenthial,B8,0.56,0.81,0.1,0.12
jcobbb,FaZe,0.8,0.74,0.26,0.11
sdy,Passion UA,0.7,0.76,0.22,0.06
HooXi,Astralis,0.68,0.72,0.13,0.07
nitr0,NRG,0.78,0.62,0.26,0.09
Snax,GamerLegion,0.82,0.75,0.21,0.05
oSee,NRG,0.53,0.74,0.09,0.15
vsm,paiN,0.73,0.6,0.21,0.06
slaxz-,M80,0.51,0.63,0.14,0.13
ScrunK,BC.Game,0.26,0.37,0.21,0.05
